"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8-9-10-11-12","0","0","0",0.558143220314936,70
"1-2","0","0","0",0.0434099177597545,47
"3","0","0","0",1.57815542995779e-09,32
"8-9-10-11-12","1","0","0",0.842776939593817,93
"1-2","1","0","0",0.0939886054379487,48
"3","1","0","0",1.60935197744167e-09,48
"8-9-10-11-12","0","1","0",0.734268259099759,64
"1-2","0","1","0",0.0305893525945261,62
"3","0","1","0",6.93374514069646e-10,53
"8-9-10-11-12","1","1","0",0.938545546666867,56
"1-2","1","1","0",0.0858819045925929,53
"3","1","1","0",9.2093195490702e-10,20
"8-9-10-11-12","0","0","1",0.689955750972883,20
"1-2","0","0","1",0.047957428533765,127
"3","0","0","1",1.47841131629391e-09,200
"8-9-10-11-12","1","0","1",0.752604176272872,1
"1-2","1","0","1",0.0357687380480366,10
"3","1","0","1",4.85669662904261e-10,15
"8-9-10-11-12","0","1","1",0.889653675403399,45
"1-2","0","1","1",0.0548310701168162,202
"3","0","1","1",1.0758004786273e-09,256
"8-9-10-11-12","1","1","1",0.934873934568415,9
"1-2","1","1","1",0.0527086797189456,28
"3","1","1","1",4.60294552691575e-10,31
"8-9-10-11-12","0","0","2",9.72550965391085e-09,15
"1-2","0","0","2",3.56160739266257e-10,28
"3","0","0","2",2.22044604925031e-16,53
"8-9-10-11-12","1","0","2",6.84835194679603e-08,0
"1-2","1","0","2",1.35103301149438e-09,0
"3","1","0","2",2.22044604925031e-16,0
"8-9-10-11-12","0","1","2",0.486319847688278,29
"1-2","0","1","2",0.0109007150404702,174
"3","0","1","2",1.32373355874938e-09,398
"8-9-10-11-12","1","1","2",0.896724417041615,1
"1-2","1","1","2",0.051637791479205,2
"3","1","1","2",2.91743847931597e-09,13
