id,parent_id,topology__is_apical,arch_dev__pot_flowering_date,arch_dev__pot_nb_inflo,arch_dev__pot_nb_fruit,growth__nb_leaf,growth__radius_gu,appearance__final_length_gu,light_interception__sunlit_fraction_col
0,NA,1,NaT,NA,NA,0,3,50,3
1,0,0,NaT,NA,NA,0,1,9,3
2,1,1,NaT,NA,NA,0,1,2,3
3,2,1,NaT,NA,NA,0,1,10,3
4,3,0,NaT,NA,NA,0,1,14,3
5,3,0,NaT,NA,NA,0,1,17,3
6,5,1,NaT,NA,NA,0,1,6,3
7,5,0,NaT,NA,NA,3,1,3,3
8,3,0,NaT,NA,NA,0,1,14,3
9,8,1,NaT,NA,NA,0,1,3,3
10,9,1,2002-11-01,1,1,7,1,6,3
11,3,0,NaT,NA,NA,0,1,21,3
12,11,0,NaT,NA,NA,0,1,5,3
13,12,0,NaT,NA,NA,2,1,10,3
14,12,0,NaT,NA,NA,0,1,5,3
15,14,1,NaT,NA,NA,5,1,15,3
16,15,0,NaT,NA,NA,4,1,6,3
17,15,0,2002-11-01,1,1,8,1,10,3
18,15,0,NaT,NA,NA,0,1,6,3
19,18,1,2002-11-01,1,2,14,1,13,3
20,15,0,NaT,NA,NA,7,1,11,3
21,11,0,NaT,NA,NA,0,1,9,3
22,21,1,NaT,NA,NA,7,1,17,3
23,22,0,NaT,NA,NA,16,1,15,3
24,23,0,2002-11-01,1,1,9,1,16,3
25,23,0,2002-11-01,1,1,16,1,21,3
26,22,0,NaT,NA,NA,6,1,7,3
27,22,0,NaT,NA,NA,9,1,12,3
28,27,0,NaT,NA,NA,16,1,22,3
29,27,0,NaT,NA,NA,9,1,18,3
30,22,0,NaT,NA,NA,7,1,10,3
31,30,1,NaT,NA,NA,12,1,21,3
32,3,0,NaT,NA,NA,0,1,16,3
33,32,1,NaT,NA,NA,0,1,5,3
34,33,1,NaT,NA,NA,4,1,6,3
35,34,0,NaT,NA,NA,7,1,12,3
36,34,0,NaT,NA,NA,9,1,12,3
37,34,0,NaT,NA,NA,7,1,12,3
38,37,1,NaT,NA,NA,10,1,12,3
39,38,1,NaT,NA,NA,8,1,9,3
